# Rime user dictionary
#@/db_name	bxm26J
#@/db_type	userdb
#@/rime_version	1.7.3
#@/tick	64909
#@/user_id	1520d77d-d27c-4605-8f5b-f25221a59c49
a 	又	c=112 d=4.9658 t=64909
uahu 	收到	c=4 d=2.86161 t=64909
uaj 	收	c=1 d=6.44214e-63 t=64909
uakg 	收益	c=10 d=1.52476e-25 t=64909
uaqo 	收回	c=18 d=1.81407e-37 t=64909
uasr 	收费	c=9 d=2.53553 t=64909
uavf 	收件	c=2 d=3.30392e-86 t=64909
uavi 	收信	c=2 d=2.82615e-46 t=64909
uavi 	收集	c=3 d=1.03471e-45 t=64909
uavj 	收入	c=75 d=0.000228149 t=64909
uawj 	收缴	c=162 d=6.98957 t=64909
uawn 	收缩	c=2 d=3.76659e-43 t=64909
uaxa 	收支	c=5 d=1.25322e-103 t=64909
uayg 	收款	c=20 d=5.97704e-05 t=64909
ub 	香	c=10 d=8.7473e-44 t=64909
ubbg 	租期	c=24 d=7.63095e-26 t=64909
ubdp 	租户	c=75 d=4.73954e-05 t=64909
ubhv 	香蕉	c=1 d=3.84799e-30 t=64909
ubi 	租	c=196 d=0.00011689 t=64909
ubil 	鲁	c=2 d=1.38048e-20 t=64909
ubiz 	租	c=2 d=1.8233e-37 t=64909
ubjz 	馟	c=3 d=5.23113e-25 t=64909
ubna 	香客	c=2 d=3.10601e-98 t=64909
ubvi 	租售	c=1 d=2.98737e-81 t=64909
ubvj 	租赁	c=102 d=0.00017956 t=64909
ubwh 	租约	c=1 d=1.89791e-97 t=64909
ubzj 	租金	c=218 d=3.54895 t=64909
ud 	心	c=48 d=3.58931 t=64909
udbp 	心眼	c=1 d=1.66637e-37 t=64909
udd 	移	c=5 d=1.35894e-20 t=64909
udgt 	必须	c=7 d=3.6084e-09 t=64909
udgu 	移动	c=45 d=1.51917 t=64909
udhu 	移到	c=2 d=0.970446 t=64909
udlb 	必	c=6 d=1.80253e-116 t=64909
udly 	心情	c=1 d=7.26944e-102 t=64909
udsa 	必要	c=19 d=0.000520881 t=64909
udvb 	心得	c=1 d=1.47087e-10 t=64909
udyx 	必填	c=8 d=7.87407e-42 t=64909
ue 	黎	c=1 d=1.41603e-63 t=64909
ueb 	睝	c=3 d=1.94576e-37 t=64909
ueu 	鯬	c=3 d=0.985112 t=64909
uf 	种	c=47 d=0.829751 t=64909
ufgm 	种类	c=2 d=1.7269e-45 t=64909
ufi 	种	c=5 d=1.00409e-48 t=64909
ug 	利	c=4 d=2.26618e-07 t=64909
ugfx 	科技	c=3 d=1.33042 t=64909
uggn 	科学	c=2 d=6.59308e-12 t=64909
ugi 	利	c=2 d=3.29031e-99 t=64909
ugia 	翻译	c=22 d=2.32501e-18 t=64909
ugiw 	利率	c=15 d=1.48936 t=64909
ugiw 	税率	c=5 d=1.036e-103 t=64909
ugix 	鼤	c=1 d=8.28571e-112 t=64909
ugj 	秒	c=20 d=1.74082 t=64909
ugjb 	利息	c=10 d=2.71122e-110 t=64909
ugjh 	稍后	c=1 d=0.839457 t=64909
ugky 	稍等	c=2 d=8.06899e-65 t=64909
ugls 	翻转	c=1 d=1.81595e-107 t=64909
ugm 	梨	c=2 d=3.88667e-30 t=64909
ugmg 	鼠标	c=1 d=5.19513e-32 t=64909
ugna 	税额	c=4 d=1.15853e-103 t=64909
ugnf 	利用	c=10 d=1.36255 t=64909
ugow 	稅	c=5 d=9.60402e-55 t=64909
ugtr 	翻页	c=2 d=1.86013e-37 t=64909
ugvi 	稍候	c=4 d=3.00234e-81 t=64909
ugyg 	税款	c=1 d=3.34269e-109 t=64909
uh 	称	c=2 d=2.37735e-41 t=64909
uhbn 	透明	c=3 d=1.91353 t=64909
uhgc 	称	c=1 d=5.25182e-42 t=64909
uhnt 	稳定	c=3 d=0.131335 t=64909
uioo 	稿	c=7 d=1.22547e-38 t=64909
ujh 	禾	c=2 d=1.21116 t=64909
ujub 	稻香	c=1 d=0.00460782 t=64909
ujz 	魚	c=1 d=5.90373e-95 t=64909
un 	熊	c=1 d=1.58079e-05 t=64909
undj 	能源	c=1 d=8.19485e-100 t=64909
unxz 	能力	c=1 d=2.48509e-33 t=64909
uo 	和	c=833 d=15.4935 t=64909
uog 	积	c=2 d=4.14088e-37 t=64909
uoi 	台	c=53 d=0.66034 t=64909
uoi 	和	c=4 d=4.85134e-50 t=64909
uoic 	程	c=1 d=2.42861e-86 t=64909
uoit 	台	c=5 d=1.34551e-109 t=64909
uojh 	程度	c=2 d=9.4968e-70 t=64909
uojz 	程序	c=59 d=5.70185 t=64909
uoma 	积极	c=1 d=5.60852e-21 t=64909
ur 	参	c=4 d=5.28909e-66 t=64909
urgm 	参数	c=160 d=3.40996 t=64909
urgs 	叁	c=1 d=2.41108e-89 t=64909
urhr 	秋天	c=1 d=8.88402e-50 t=64909
urjs 	参考	c=16 d=2.13081 t=64909
ursh 	参与	c=1 d=0.161218 t=64909
uttg 	必不可少	c=3 d=1.77976 t=64909
uuu 	惢	c=1 d=8.02219e-26 t=64909
uuxn 	私有	c=3 d=1.84577e-34 t=64909
uvj 	秂	c=1 d=6.34751e-36 t=64909
uw 	允	c=1 d=6.0546e-39 t=64909
uwiv 	允许	c=11 d=3.1723e-23 t=64909
ux 	乘	c=3 d=5.26004e-31 t=64909
uxpv 	乘除	c=9 d=5.90724e-31 t=64909
uxth 	剩下	c=7 d=6.38404e-63 t=64909
uxuo 	乘积	c=2 d=5.83908e-37 t=64909
uxvh 	剩余	c=9 d=1.90415 t=64909
uxzy 	稀疏	c=1 d=9.07949e-12 t=64909
uz 	季	c=2 d=2.08819e-74 t=64909
uzjh 	季度	c=6 d=1.05043e-92 t=64909
v 	你	c=377 d=9.69384 t=64909
va 	仅	c=20 d=1.73776e-15 t=64909
vava 	仅仅	c=8 d=1.22994 t=64909
vayl 	彼此	c=1 d=0.882497 t=64909
vb 	得	c=53 d=0.852144 t=64909
vba 	复	c=2 d=0.882497 t=64909
vbbt 	但是	c=2 d=0.499233 t=64909
vbep 	复印	c=1 d=3.99499e-118 t=64909
vbgh 	复兴	c=1 d=1.98837e-86 t=64909
vbh 	但	c=81 d=2.55708 t=64909
vbhu 	得到	c=4 d=0.644037 t=64909
vbjf 	复制	c=16 d=0.433875 t=64909
vbjh 	得病	c=1 d=1.7242e-56 t=64909
vbma 	复权	c=1 d=1.18305e-07 t=64909
vbnf 	复用	c=4 d=1.02832e-05 t=64909
vbvr 	得知	c=1 d=0.000497955 t=64909
vbxm 	复杂	c=11 d=0.916162 t=64909
vcgm 	偶数	c=6 d=0.411476 t=64909
vchg 	偶尔	c=2 d=1.45053e-44 t=64909
vd 	今	c=6 d=0.752067 t=64909
vdbh 	今晚	c=1 d=2.33092e-103 t=64909
vddx 	含义	c=2 d=1.48076e-30 t=64909
vdhr 	今天	c=62 d=0.404542 t=64909
vdjy 	衍生	c=1 d=2.22093e-05 t=64909
vdlx 	领导	c=3 d=6.91631e-75 t=64909
vdph 	偏	c=1 d=2.77378e-120 t=64909
vdpx 	邻居	c=1 d=6.04e-40 t=64909
vdrh 	偏大	c=2 d=8.17125e-50 t=64909
vdud 	偏移	c=2 d=5.29378e-18 t=64909
vdug 	含税	c=8 d=1.1316e-103 t=64909
vdvf 	今年	c=4 d=8.16008e-50 t=64909
vdx 	仪	c=1 d=0.76338 t=64909
vdxn 	含有	c=3 d=1.95064 t=64909
vdys 	领域	c=5 d=2.90443 t=64909
vdz 	令	c=1 d=3.53131e-49 t=64909
vdzo 	含	c=1 d=3.94944e-42 t=64909
vdzr 	領	c=2 d=1.67472e-37 t=64909
ve 	微	c=21 d=2.05758e-18 t=64909
veaw 	微观	c=1 d=0.748263 t=64909
vei 	促	c=1 d=2.40445e-86 t=64909
velh 	微软	c=4 d=1.78416 t=64909
veug 	微秒	c=1 d=2.97702e-99 t=64909
vevi 	催	c=27 d=1.70896e-59 t=64909
vevi 	微信	c=47 d=12.3291 t=64909
vezg 	促销	c=7 d=9.82364e-73 t=64909
vf 	年	c=224 d=4.19451 t=64909
vffp 	年报	c=1 d=1.4008e-24 t=64909
vfhw 	伟	c=1 d=9.5311e-83 t=64909
vfj 	件	c=27 d=5.15133e-50 t=64909
vfjh 	年度	c=22 d=1.16392e-20 t=64909
vfjj 	年底	c=6 d=9.57405e-77 t=64909
vflz 	年轻	c=1 d=2.63733e-56 t=64909
vfnf 	年审	c=1 d=1.05676e-120 t=64909
vfnj 	年月	c=5 d=1.27199e-18 t=64909
vfpp 	年限	c=2 d=1.16725e-104 t=64909
vfth 	年初	c=1 d=8.26651e-26 t=64909
vfub 	年租	c=1 d=1.90218e-94 t=64909
vfvg 	年份	c=35 d=2.68741e-18 t=64909
vfvp 	年假	c=3 d=4.49274e-67 t=64909
vfyv 	年龄	c=7 d=2.61205e-07 t=64909
vfz 	健	c=6 d=2.58146 t=64909
vg 	会	c=288 d=4.38218 t=64909
vgh 	仁	c=4 d=3.90593e-43 t=64909
vgh 	份	c=38 d=0.786628 t=64909
vghf 	份	c=2 d=2.55017e-43 t=64909
vgid 	会议	c=1 d=1.66343e-75 t=64909
vgij 	会话	c=32 d=1.81536 t=64909
vgix 	会计	c=14 d=8.57356 t=64909
vgj 	介	c=1 d=1.41435e-49 t=64909
vgnu 	偿	c=3 d=4.95268e-110 t=64909
vgor 	会员	c=5 d=6.40074e-13 t=64909
vgtz 	偿还	c=8 d=2.01517e-111 t=64909
vgu 	伝	c=3 d=8.2393e-46 t=64909
vguh 	会	c=1 d=2.51571e-30 t=64909
vgwh 	介绍	c=21 d=4.31802 t=64909
vh 	行	c=241 d=3.59575 t=64909
vhao 	例如	c=6 d=3.83103e-05 t=64909
vhbg 	逾期	c=109 d=2.45906e-28 t=64909
vhd 	仞	c=9 d=1.68769 t=64909
vhdg 	例	c=18 d=1.23909 t=64909
vhdi 	倒流	c=1 d=3.65846e-24 t=64909
vhdo 	命名	c=20 d=0.00194627 t=64909
vhdx 	行为	c=7 d=0.608463 t=64909
vhdy 	合法	c=13 d=0.680451 t=64909
vhg 	你	c=1 d=2.56208e-39 t=64909
vhgu 	您	c=15 d=1.32948e-05 t=64909
vhhn 	斜角	c=1 d=3.53432e-59 t=64909
vhi 	佱	c=1 d=5.95698e-83 t=64909
vhia 	行政	c=2 d=1.6048e-94 t=64909
vhii 	合理	c=7 d=0.786628 t=64909
vhix 	合计	c=14 d=0.980186 t=64909
vhjx 	合适	c=13 d=0.700116 t=64909
vhkh 	合并	c=51 d=2.98484 t=64909
vhlh 	倒车	c=1 d=3.92907e-40 t=64909
vhm 	余	c=5 d=3.02859e-07 t=64909
vhmz 	途	c=22 d=0.788414 t=64909
vhna 	余额	c=5 d=6.22176e-105 t=64909
vhnb 	便宜	c=5 d=1.26226e-34 t=64909
vhnh 	合同	c=778 d=1.67908 t=64909
vhni 	合肥市	c=2 d=4.46344e-32 t=64909
vho 	合	c=7 d=0.634467 t=64909
vhof 	拿	c=2 d=1.19449e-32 t=64909
vhop 	命	c=1 d=3.44845e-05 t=64909
vhoq 	盒	c=10 d=0.588605 t=64909
vhos 	行号	c=1 d=4.37657e-103 t=64909
vhqb 	會	c=1 d=1.38889e-100 t=64909
vhqh 	僵	c=2 d=1.15498e-48 t=64909
vhqq 	像	c=14 d=9.26294e-12 t=64909
vhsr 	行驶	c=1 d=9.30211e-91 t=64909
vht 	行	c=1 d=1.66593e-122 t=64909
vhug 	倒	c=3 d=2.94076 t=64909
vhvd 	命令	c=305 d=14.8218 t=64909
vhvr 	合伙	c=1 d=1.96859e-86 t=64909
vhvv 	合作	c=4 d=0.251579 t=64909
vhxh 	行业	c=11 d=1.22824e-95 t=64909
vhyw 	像素	c=2 d=9.89814e-57 t=64909
vhzz 	例子	c=5 d=1.6957e-07 t=64909
vhzz 	盒子	c=1 d=1.42783e-43 t=64909
vi 	个	c=1816 d=19.4222 t=64909
viag 	修	c=2 d=4.36555e-44 t=64909
vial 	修女	c=2 d=2.89366e-59 t=64909
vibj 	全日制	c=2 d=1.88283e-90 t=64909
vid 	住	c=16 d=1.3923 t=64909
vid 	信	c=2 d=0.759572 t=64909
vidh 	依次	c=3 d=1 t=64909
vidr 	依然	c=4 d=0.767206 t=64909
vidw 	往	c=1 d=4.15617e-54 t=64909
vidx 	信	c=61 d=0.729788 t=64909
vifk 	全拼	c=2 d=1.8912e-26 t=64909
vifp 	依据	c=1 d=0.0495388 t=64909
vigm 	个数	c=8 d=2.25168e-45 t=64909
vigm 	位数	c=6 d=0.481603 t=64909
vigm 	倍数	c=1 d=3.89872e-37 t=64909
vih 	全	c=55 d=7.42183 t=64909
vihw 	伍	c=1 d=2.23686e-89 t=64909
vihz 	征	c=4 d=9.77495e-95 t=64909
viih 	修正	c=3 d=2.53254e-79 t=64909
viii 	修理	c=1 d=4.59157e-79 t=64909
viik 	全新	c=1 d=0.99005 t=64909
viik 	全部	c=30 d=0.00162053 t=64909
viix 	全球	c=1 d=0.000902805 t=64909
vijb 	信息	c=466 d=9.42541 t=64909
vijb 	儲	c=1 d=7.75024e-32 t=64909
vijh 	售后	c=1 d=2.55008e-72 t=64909
vijz 	住所	c=1 d=5.53501e-101 t=64909
vik 	位	c=65 d=0.156453 t=64909
viko 	倍	c=2 d=1.45445e-25 t=64909
vikv 	修饰	c=2 d=1.59413e-45 t=64909
vila 	修改	c=836 d=17.3775 t=64909
vilh 	停车	c=2 d=2.60576e-32 t=64909
vilj 	个性	c=3 d=1.68782e-11 t=64909
vilv 	个性化	c=1 d=1.44017e-56 t=64909
vim 	集	c=17 d=1.93039e-32 t=64909
vima 	修整	c=1 d=1.1072e-51 t=64909
vimh 	依赖	c=170 d=5.26667 t=64909
vina 	个案	c=1 d=2.3253e-104 t=64909
vinf 	信用	c=7 d=1.07073e-98 t=64909
vinf 	停用	c=2 d=0.960789 t=64909
vios 	信号	c=2 d=1.68289e-06 t=64909
viot 	停	c=1 d=9.31383e-47 t=64909
viox 	个别	c=2 d=0.421325 t=64909
vipk 	全屏	c=8 d=5.80887e-24 t=64909
vipz 	全局	c=44 d=3.20142 t=64909
viqx 	位置	c=41 d=5.47461 t=64909
viqx 	集团	c=6 d=1.40949 t=64909
visj 	集成	c=14 d=1.32665 t=64909
vith 	位于	c=3 d=3.70951e-30 t=64909
vitq 	全面	c=1 d=0.000536738 t=64909
vivb 	修复	c=39 d=4.16901 t=64909
vivf 	全年	c=15 d=1.2769e-39 t=64909
vivf 	往年	c=1 d=1.51923e-67 t=64909
vivh 	集合	c=17 d=1.92312 t=64909
vivi 	往往	c=3 d=0.1764 t=64909
vivj 	个人	c=51 d=0.086201 t=64909
vivm 	个体	c=2 d=3.28631e-56 t=64909
vivs 	信贷	c=4 d=7.20324e-112 t=64909
vixi 	储存	c=1 d=0.985112 t=64909
vixz 	售卖	c=2 d=5.54288e-51 t=64909
viyi 	停止	c=8 d=0.927743 t=64909
vj 	人	c=225 d=0.82994 t=64909
vjax 	任务	c=47 d=1.77095 t=64909
vjb 	伯	c=2 d=0.000405658 t=64909
vjbo 	任职	c=3 d=1.26439e-54 t=64909
vjdo 	人名	c=2 d=4.23572e-92 t=64909
vjfp 	凭据	c=2 d=0.980199 t=64909
vjgm 	人数	c=3 d=3.31764e-50 t=64909
vjhh 	人世	c=1 d=1.32661e-119 t=64909
vjih 	人工	c=3 d=0.177284 t=64909
vjii 	凭证	c=4 d=7.04163e-51 t=64909
vjik 	任意	c=10 d=0.725387 t=64909
vjit 	循环	c=9 d=0.00335266 t=64909
vjj 	彳	c=2 d=1.5468e-14 t=64909
vjn 	入	c=13 d=1.16993 t=64909
vjnd 	入门	c=6 d=0.588605 t=64909
vjnq 	人家	c=2 d=7.79876e-77 t=64909
vjnv 	众所周知	c=1 d=0.151072 t=64909
vjoi 	人口	c=5 d=2.9143e-31 t=64909
vjoi 	入口	c=11 d=5.01645e-32 t=64909
vjor 	人员	c=14 d=7.81718 t=64909
vjps 	人民	c=2 d=6.30343e-101 t=64909
vjrk 	入账	c=4 d=0.000296045 t=64909
vjsd 	低	c=3 d=2.32031e-96 t=64909
vjvf 	伯仲	c=1 d=3.60032e-12 t=64909
vjvh 	任命	c=1 d=2.77434e-93 t=64909
vjvt 	任何	c=4 d=9.39619e-33 t=64909
vjx 	仟	c=2 d=4.65683e-89 t=64909
vjxj 	人才	c=1 d=0.733447 t=64909
vjxz 	人力	c=1 d=0.740819 t=64909
vjyr 	賃	c=4 d=7.29641e-28 t=64909
vk 	怎	c=2 d=4.51029e-16 t=64909
vkju 	怎么	c=109 d=1.63079 t=64909
vkmy 	怎样	c=4 d=0.974132 t=64909
vku 	怎	c=2 d=2.06671e-70 t=64909
vl 	他	c=71 d=2.257e-27 t=64909
vlaj 	他妈的	c=2 d=1.43841e-71 t=64909
vldv 	似	c=1 d=0.115903 t=64909
vldx 	华为	c=8 d=2.62454 t=64909
vleu 	创出	c=3 d=0.99005 t=64909
vlfz 	创建	c=216 d=10.1499 t=64909
vlg 	创	c=2 d=0.67368 t=64909
vlig 	他说	c=2 d=2.87922e-59 t=64909
vlih 	化工	c=7 d=3.55201 t=64909
vlj 	化	c=156 d=5.65107 t=64909
vljl 	仓库	c=43 d=2.39498 t=64909
vlvj 	他人	c=1 d=1.60906e-37 t=64909
vlvn 	他们	c=14 d=0.318224 t=64909
vlvv 	化作	c=2 d=0.377447 t=64909
vlx 	华	c=27 d=3.48759 t=64909
vm 	体	c=59 d=4.75074 t=64909
vmbp 	休眠	c=1 d=0.995012 t=64909
vmdb 	体温	c=1 d=8.22671e-28 t=64909
vmh 	休	c=11 d=0.900325 t=64909
vmht 	体	c=1 d=2.45979e-89 t=64909
vmiw 	体现	c=3 d=1.1555e-31 t=64909
vmjb 	休息	c=10 d=1.64699 t=64909
vmjw 	体系	c=3 d=2.11066 t=64909
vmsv 	体验	c=3 d=3.79004e-22 t=64909
vmuo 	体积	c=3 d=4.22678e-22 t=64909
vn 	们	c=502 d=8.55061 t=64909
vnh 	俩	c=4 d=8.51973e-28 t=64909
vo 	保	c=18 d=4.86708 t=64909
voch 	保留	c=18 d=2.34898 t=64909
vofd 	保护	c=1 d=1.42512e-50 t=64909
vofy 	保持	c=11 d=0.786722 t=64909
voii 	保证	c=46 d=1.95018e-05 t=64909
vont 	保定	c=9 d=1.07212 t=64909
vopi 	保障	c=2 d=1.78319e-40 t=64909
voxi 	保存	c=67 d=3.63946 t=64909
voyn 	保养	c=1 d=3.63132e-54 t=64909
vp 	很	c=25 d=0.369963 t=64909
vpao 	假如	c=1 d=9.33633e-46 t=64909
vpav 	很难	c=1 d=1.94642e-41 t=64909
vpaz 	很好	c=2 d=1.07845 t=64909
vpbg 	假期	c=2 d=1.20133e-100 t=64909
vpdd 	很多	c=5 d=1.04 t=64909
vpga 	假	c=13 d=7.9945e-38 t=64909
vphq 	假象	c=1 d=0.238115 t=64909
vprh 	很大	c=2 d=4.87483e-48 t=64909
vpwo 	倔强	c=2 d=1.88305e-85 t=64909
vpxo 	倨	c=1 d=8.51312e-107 t=64909
vq 	每	c=47 d=1.348 t=64909
vqdh 	每次	c=5 d=2.96146e-08 t=64909
vqge 	每当	c=1 d=5.1258e-21 t=64909
vqhr 	每天	c=3 d=0.603506 t=64909
vqig 	繁琐	c=2 d=0.179066 t=64909
vqnj 	每月	c=5 d=0.615697 t=64909
vqny 	每周	c=7 d=1.72022e-35 t=64909
vqsj 	敏感	c=2 d=1.08171e-71 t=64909
vqvf 	每年	c=3 d=0.876941 t=64909
vqvi 	每位	c=1 d=2.35578e-22 t=64909
vr 	知	c=5 d=0.280479 t=64909
vrbg 	短期	c=1 d=1.85086e-37 t=64909
vrea 	短路	c=1 d=1.09265e-13 t=64909
vrfn 	智囊	c=5 d=7.04891e-08 t=64909
vrg 	側	c=6 d=1.75751e-42 t=64909
vrh 	使	c=14 d=0.283441 t=64909
vrio 	知识	c=28 d=2.07016 t=64909
vrkj 	知道	c=115 d=3.94826 t=64909
vrn 	矪	c=4 d=0.458406 t=64909
vrnf 	使用	c=1310 d=17.8152 t=64909
vro 	知	c=1 d=1.41402e-105 t=64909
vrob 	智	c=1 d=0.985112 t=64909
vrpl 	矩阵	c=4 d=1.20251e-53 t=64909
vrun 	智能	c=14 d=4.77716 t=64909
vrvb 	使得	c=4 d=1.64979e-37 t=64909
vrvi 	短信	c=40 d=3.17166e-50 t=64909
vrxz 	侧边	c=18 d=2.2307 t=64909
vs 	代	c=27 d=1.72116 t=64909
vsb 	借	c=27 d=7.12255e-09 t=64909
vsbj 	供暖	c=9 d=0.786628 t=64909
vsdx 	传染	c=1 d=4.48812e-105 t=64909
vsfu 	传播	c=1 d=0.755783 t=64909
vsfw 	传扬	c=1 d=3.16542e-115 t=64909
vsg 	供	c=11 d=3.83642e-54 t=64909
vsgm 	代数	c=1 d=1.10491e-56 t=64909
vsgt 	传递	c=8 d=0.207014 t=64909
vshc 	传	c=51 d=4.04782 t=64909
vsii 	代理	c=91 d=9.21273 t=64909
vsjg 	供应	c=8 d=2.85956e-108 t=64909
vsnf 	借用	c=1 d=2.36067e-17 t=64909
vsos 	代号	c=1 d=4.95408e-120 t=64909
vsps 	代码	c=360 d=7.27207 t=64909
vsqb 	俄罗斯	c=2 d=4.17028e-68 t=64909
vsr 	貸	c=12 d=7.15825e-09 t=64909
vsrd 	贷	c=21 d=7.20338e-110 t=64909
vsrr 	代替	c=4 d=5.83145e-09 t=64909
vsvj 	传入	c=9 d=2.37049e-07 t=64909
vsvs 	借贷	c=1 d=2.20881e-117 t=64909
vswi 	传统	c=3 d=7.62429e-43 t=64909
vsxb 	传真	c=2 d=2.46967e-48 t=64909
vsyg 	借款	c=6 d=1.06274e-75 t=64909
vsyg 	贷款	c=66 d=1.47471 t=64909
vsyj 	代表	c=14 d=0.748263 t=64909
vszz 	袋子	c=1 d=4.65304e-59 t=64909
vt 	何	c=2 d=0.786628 t=64909
vtb 	佰	c=2 d=4.66914e-89 t=64909
vtbx 	何时	c=2 d=1.56154 t=64909
vtnp 	舒服	c=2 d=1.3414e-73 t=64909
vto 	舍	c=1 d=0.088922 t=64909
vtos 	舍	c=3 d=0.246203 t=64909
vtot 	舒	c=2 d=3.90334e-43 t=64909
vtxg 	儒	c=1 d=1.33848e-18 t=64909
vu 	俊	c=2 d=2.85791e-48 t=64909
vug 	俐	c=1 d=0.000228266 t=64909
vv 	作	c=16 d=1.12055 t=64909
vvdd 	众多	c=1 d=3.74294e-116 t=64909
vvdx 	作为	c=56 d=0.925554 t=64909
vvg 	伱	c=1 d=1.20523e-49 t=64909
vvgj 	价	c=11 d=1.30881e-19 t=64909
vvhd 	坐落	c=5 d=2.85018e-28 t=64909
vvhg 	偷	c=1 d=1.18608e-37 t=64909
vvhq 	作画	c=1 d=2.97367e-27 t=64909
vvio 	伦敦	c=1 d=5.36156e-50 t=64909
vvj 	仌	c=5 d=0.535262 t=64909
vvj 	从	c=1 d=8.84901e-33 t=64909
vvjb 	作者	c=3 d=3.47534e-11 t=64909
vvjc 	从	c=66 d=2.0895 t=64909
vvjx 	作废	c=3 d=5.35332e-24 t=64909
vvkj 	偷笑	c=1 d=1.20338e-31 t=64909
vvl 	伦	c=2 d=2.42324e-60 t=64909
vvma 	价格	c=20 d=1.36953 t=64909
vvmg 	坐标	c=3 d=4.12649e-106 t=64909
vvnf 	作用	c=45 d=2.94778 t=64909
vvqa 	作图	c=1 d=1.16199e-31 t=64909
vvtn 	从而	c=1 d=7.30161e-07 t=64909
vvvx 	价值	c=4 d=3.21371e-105 t=64909
vvwh 	短短几天	c=1 d=8.67706e-08 t=64909
vvy 	坐	c=3 d=2.37687e-68 t=64909
vw 	优	c=3 d=0.00486835 t=64909
vwcu 	优惠	c=9 d=1 t=64909
vwfw 	优先	c=9 d=1.34441 t=64909
vwfx 	优势	c=11 d=3.07944 t=64909
vwlo 	优点	c=1 d=1.03799e-115 t=64909
vwrv 	优雅	c=1 d=0.00256704 t=64909
vwuh 	优秀	c=3 d=0.992159 t=64909
vwvl 	优化	c=10 d=4.83321e-06 t=64909
vx 	什	c=2 d=1.55985e-46 t=64909
vxb 	值	c=492 d=6.56603 t=64909
vxbl 	値	c=1 d=1.35492e-44 t=64909
vxd 	付	c=37 d=1.77799 t=64909
vxdy 	做法	c=1 d=6.46803e-22 t=64909
vxgj 	缺少	c=1 d=5.15396e-56 t=64909
vxh 	午	c=11 d=9.43308e-42 t=64909
vxio 	啎	c=1 d=5.3138e-33 t=64909
vxix 	估计	c=2 d=2.72709e-38 t=64909
vxjr 	缺失	c=3 d=7.45165e-11 t=64909
vxju 	什么	c=259 d=10.3069 t=64909
vxjy 	做庄	c=1 d=1.3761e-50 t=64909
vxkj 	做饭	c=1 d=2.73164e-87 t=64909
vxkj 	午饭	c=1 d=2.70447e-87 t=64909
vxo 	佑	c=1 d=0.985112 t=64909
vxoa 	做	c=78 d=3.40686 t=64909
vxsr 	付费	c=4 d=0.621885 t=64909
vxx 	伜	c=1 d=4.63756e-108 t=64909
vxyg 	付款	c=27 d=1.73686e-49 t=64909
vy 	企	c=2 d=0.267136 t=64909
vyax 	债务	c=2 d=2.41207e-115 t=64909
vyi 	企	c=1 d=1.78399e-104 t=64909
vykj 	街道	c=11 d=4.04344e-38 t=64909
vyn 	倩	c=1 d=2.27429e-49 t=64909
vynt 	待定	c=1 d=1.92961e-86 t=64909
vyxd 	待	c=45 d=3.31853 t=64909
vyxh 	企业	c=49 d=3.97463 t=64909
vyxs 	卸载	c=2 d=3.78491e-12 t=64909
vyy 	佳	c=4 d=1.52724 t=64909
vyyt 	街	c=4 d=2.56046e-84 t=64909
vzwq 	仔细	c=1 d=5.34152e-06 t=64909
vzzy 	亿	c=6 d=1.16212e-89 t=64909
w 	了	c=1105 d=7.39829 t=64909
wa 	级	c=31 d=2.09791 t=64909
wag 	終	c=4 d=0.516851 t=64909
waik 	终端	c=29 d=1.02328 t=64909
waj 	級	c=3 d=0.826959 t=64909
walo 	终点	c=2 d=2.41747e-32 t=64909
waox 	级别	c=13 d=1.41625 t=64909
wavh 	缝合	c=1 d=5.51585e-119 t=64909
wayi 	终止	c=8 d=0.524663 t=64909
wb 	组	c=46 d=2.37974 t=64909
wbi 	組	c=2 d=1.5553e-49 t=64909
wbsj 	组成	c=19 d=5.5633e-14 t=64909
wbvf 	组件	c=175 d=7.84821 t=64909
wbvh 	组合	c=23 d=0.976093 t=64909
wbwo 	组织	c=43 d=6.78558 t=64909
wd 	编	c=1 d=1.46627e-32 t=64909
wdbg 	尤其	c=1 d=1.49763e-75 t=64909
wdd 	凡	c=1 d=7.95863e-50 t=64909
wdia 	编译	c=37 d=2.90869 t=64909
wdlo 	编辑	c=87 d=4.47142 t=64909
wdns 	编写	c=10 d=3.04194 t=64909
wdos 	编号	c=35 d=0.396531 t=64909
wdps 	编码	c=34 d=2.19499 t=64909
wduo 	编程	c=13 d=1.88708 t=64909
wdwd 	弱	c=3 d=2.31135e-32 t=64909
we 	绿	c=3 d=6.25621e-42 t=64909
weix 	緑	c=1 d=0.778801 t=64909
wfjh 	纬度	c=1 d=7.2895e-105 t=64909
wfnt 	绑定	c=15 d=0.496585 t=64909
wgeu 	弹出	c=4 d=0.989699 t=64909
wglj 	弹性	c=2 d=0.58567 t=64909
wgmw 	粥	c=1 d=3.4021e-81 t=64909
wgt 	弹	c=10 d=4.75836e-50 t=64909
wgwx 	继续	c=8 d=1.23644 t=64909
wgzx 	继承	c=4 d=0.514274 t=64909
wh 	约	c=2 d=2.85999e-39 t=64909
whax 	绝对	c=4 d=0.782704 t=64909
whd 	約	c=1 d=6.3887e-112 t=64909
whnh 	约同	c=1 d=3.87058e-40 t=64909
whnt 	约定	c=1 d=1.13891e-89 t=64909
wi 	见	c=10 d=1.24807e-46 t=64909
